Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 6378.0 9095.0 0.9
2 2 242.0 3 6559.0 7636.0 1.54
3 3 243.0 3 4666.0 1019.0 0.94
4 6 246.0 3 1182.0 956.0 1.42
5 6 246.0 3 5087.0 4752.0 1.76
6 7 247.0 3 9396.0 7261.0 1.57
7 9 249.0 3 6198.0 7572.0 1.05
8 10 250.0 3 3209.0 934.0 1.8
9 10 250.0 3 8857.0 7275.0 1.03
10 11 251.0 3 9152.0 4819.0 1.33
11 11 251.0 3 8352.0 2235.0 0.87
12 11 251.0 3 6563.0 684.0 1.83
13 12 252.0 3 450.0 8807.0 0.34
14 13 253.0 3 3082.0 5757.0 1.88
15 14 254.0 3 6314.0 8251.0 1.48
16 16 256.0 3 5040.0 3868.0 0.68
17 16 256.0 3 9586.0 2024.0 0.69
18 17 257.0 3 4673.0 784.0 0.69
19 22 262.0 3 8052.0 8533.0 1.94
20 23 263.0 3 3459.0 3186.0 1.05
21 23 263.0 3 2433.0 6590.0 1.98
22 26 266.0 3 4468.0 8999.0 0.95
23 26 266.0 3 7307.0 8125.0 1.65
24 26 266.0 3 3148.0 9525.0 1.0
25 26 266.0 3 874.0 7166.0 1.43
26 29 269.0 3 4956.0 7453.0 1.41
27 29 269.0 3 3261.0 5864.0 1.11
28 30 270.0 3 1881.0 1283.0 1.1
29 30 270.0 3 2552.0 8448.0 1.55
30 32 272.0 3 6781.0 3729.0 0.84
31 32 272.0 3 4663.0 7022.0 1.01
32 34 274.0 3 2699.0 3835.0 1.75
33 37 277.0 3 9253.0 5190.0 1.37
34 37 277.0 3 5105.0 6222.0 0.8
35 40 280.0 3 5575.0 1354.0 1.03
36 40 280.0 3 2270.0 7697.0 0.41
37 42 282.0 3 651.0 7175.0 0.71
38 43 283.0 3 6037.0 6670.0 1.76
39 44 284.0 3 7372.0 2589.0 1.16
40 45 285.0 3 5762.0 7280.0 0.49
41 47 287.0 3 2783.0 6828.0 0.41
42 48 288.0 3 6162.0 2743.0 1.34
43 49 289.0 3 8382.0 6398.0 1.7
44 51 291.0 3 3370.0 4953.0 0.43
45 51 291.0 3 9928.0 2652.0 1.43
46 51 291.0 3 4028.0 8321.0 0.76
47 54 294.0 3 4055.0 1750.0 0.91
48 56 296.0 3 6624.0 1210.0 1.93
49 59 299.0 3 808.0 8683.0 0.96
50 65 305.0 3 3204.0 1820.0 0.74
51 65 305.0 3 3905.0 742.0 1.94
52 66 306.0 3 8689.0 4282.0 1.72
53 67 307.0 3 1502.0 8762.0 0.42
54 67 307.0 3 6352.0 5935.0 1.17
55 69 309.0 3 873.0 767.0 0.73
56 70 310.0 3 6926.0 753.0 0.94
57 71 311.0 3 9864.0 4844.0 0.45
58 73 313.0 3 1948.0 2996.0 0.91
59 73 313.0 3 7784.0 2764.0 1.29
60 74 314.0 3 3610.0 6015.0 1.52
61 75 315.0 3 454.0 2064.0 0.53
62 76 316.0 3 6387.0 7220.0 1.17
63 77 317.0 3 3214.0 436.0 1.58
64 77 317.0 3 7539.0 9228.0 1.73
65 79 319.0 3 7149.0 4071.0 0.85
66 81 321.0 3 1802.0 5954.0 1.35
67 82 322.0 3 7719.0 3447.0 1.35
68 83 323.0 3 8553.0 3927.0 1.75
69 83 323.0 3 2708.0 5118.0 1.23
70 83 323.0 3 6146.0 4607.0 0.83
71 84 324.0 3 7133.0 2962.0 1.88
72 86 326.0 3 9291.0 4827.0 0.89
73 87 327.0 3 7047.0 2142.0 0.41
74 87 327.0 3 3327.0 1018.0 0.91
75 90 330.0 3 1150.0 1242.0 1.59
76 90 330.0 3 4770.0 7387.0 1.79
77 90 330.0 3 2164.0 4273.0 0.91
78 90 330.0 3 5215.0 9682.0 1.24
79 90 330.0 3 2166.0 6032.0 1.63
80 93 333.0 3 6349.0 8704.0 0.81
81 95 335.0 3 9580.0 2667.0 1.06
82 96 336.0 3 1733.0 5678.0 1.65
83 97 337.0 3 9558.0 1897.0 1.48
84 97 337.0 3 7109.0 7152.0 1.33
85 97 337.0 3 530.0 4235.0 1.85
86 100 340.0 3 8158.0 7130.0 0.89
87 100 340.0 3 6386.0 5321.0 0.77
88 100 340.0 3 515.0 8406.0 1.06
89 103 343.0 3 7655.0 1510.0 0.63
90 105 345.0 3 3669.0 5237.0 0.46
91 107 347.0 3 5605.0 2779.0 1.08
92 108 348.0 3 9222.0 2180.0 0.4
93 110 350.0 3 8429.0 5993.0 0.54
94 111 351.0 3 523.0 8985.0 1.31
95 111 351.0 3 3571.0 9831.0 1.86
