Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 7 247.0 3 5704.0 7243.0 1.33
2 8 248.0 3 8072.0 5487.0 1.95
3 10 250.0 3 6335.0 4564.0 0.93
4 10 250.0 3 3567.0 563.0 1.08
5 12 252.0 3 7724.0 4747.0 1.22
6 13 253.0 3 6134.0 6663.0 1.37
7 15 255.0 3 6441.0 4734.0 1.5
8 17 257.0 3 4219.0 5027.0 0.34
9 20 260.0 3 6458.0 4019.0 1.62
10 20 260.0 3 5066.0 8766.0 1.0
11 20 260.0 3 4536.0 6513.0 0.74
12 22 262.0 3 3896.0 7518.0 1.51
13 23 263.0 3 4108.0 2161.0 1.39
14 24 264.0 3 3006.0 4850.0 0.55
15 24 264.0 3 3876.0 2311.0 0.4
16 24 264.0 3 4596.0 865.0 0.64
17 25 265.0 3 2554.0 3608.0 0.51
18 27 267.0 3 2120.0 2363.0 1.87
19 27 267.0 3 6869.0 7809.0 1.93
20 28 268.0 3 5675.0 4461.0 1.33
21 29 269.0 3 5551.0 6832.0 1.7
22 33 273.0 3 5258.0 6497.0 1.92
23 34 274.0 3 5609.0 1102.0 1.35
24 35 275.0 3 7359.0 5182.0 1.94
25 37 277.0 3 -27.0 6284.0 1.36
26 41 281.0 3 7660.0 4056.0 1.61
27 42 282.0 3 6906.0 3725.0 1.59
28 43 283.0 3 6396.0 5907.0 1.74
29 44 284.0 3 3041.0 7012.0 0.43
30 45 285.0 3 7728.0 4204.0 1.34
31 45 285.0 3 3301.0 4531.0 0.94
32 47 287.0 3 4403.0 943.0 0.55
33 47 287.0 3 3505.0 967.0 1.42
34 49 289.0 3 5550.0 4683.0 0.65
35 51 291.0 3 10142.0 3866.0 1.19
36 54 294.0 3 5415.0 5078.0 0.46
37 56 296.0 3 3485.0 6253.0 1.0
38 56 296.0 3 4206.0 456.0 0.61
39 56 296.0 3 5232.0 9377.0 1.63
40 57 297.0 3 1698.0 5624.0 1.41
41 58 298.0 3 7406.0 8131.0 1.69
42 58 298.0 3 3859.0 8024.0 0.39
43 60 300.0 3 4307.0 5573.0 1.11
44 63 303.0 3 4183.0 4041.0 0.68
45 64 304.0 3 5149.0 5494.0 1.56
46 65 305.0 3 6233.0 4228.0 0.4
47 67 307.0 3 6896.0 6383.0 0.71
48 68 308.0 3 1897.0 4718.0 0.47
49 70 310.0 3 4515.0 4026.0 0.71
