Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 3841.0 8259.0 1.1
2 2 242.0 3 5884.0 98.0 1.51
3 4 244.0 3 6237.0 6756.0 0.92
4 4 244.0 3 6561.0 2853.0 1.95
5 5 245.0 3 436.0 1391.0 1.05
6 9 249.0 3 10897.0 7155.0 0.61
7 10 250.0 3 5846.0 4858.0 0.68
8 10 250.0 3 9908.0 7532.0 0.71
9 11 251.0 3 7158.0 9890.0 1.58
10 12 252.0 3 8624.0 4329.0 1.49
11 13 253.0 3 3251.0 9991.0 0.86
12 17 257.0 3 74.0 6564.0 1.86
13 18 258.0 3 5434.0 6714.0 1.64
14 18 258.0 3 5735.0 6235.0 1.73
15 19 259.0 3 4068.0 1694.0 0.67
16 21 261.0 3 6132.0 1493.0 1.38
17 22 262.0 3 2857.0 6092.0 0.91
18 23 263.0 3 5553.0 2481.0 0.89
19 23 263.0 3 7704.0 6263.0 1.7
20 24 264.0 3 5221.0 3620.0 0.37
21 28 268.0 3 3553.0 2992.0 0.48
22 28 268.0 3 3105.0 6104.0 1.25
23 31 271.0 3 3234.0 3689.0 0.3
24 32 272.0 3 6688.0 7377.0 1.35
25 35 275.0 3 2592.0 4764.0 1.33
26 39 279.0 3 6252.0 3085.0 0.76
27 40 280.0 3 3773.0 4879.0 1.45
28 40 280.0 3 2350.0 3877.0 1.13
29 42 282.0 3 6717.0 3839.0 0.41
30 42 282.0 3 6137.0 6957.0 1.56
31 45 285.0 3 1711.0 6028.0 0.36
32 46 286.0 3 9766.0 6084.0 1.57
33 47 287.0 3 2895.0 4361.0 1.84
34 50 290.0 3 2601.0 5896.0 0.87
35 51 291.0 3 5208.0 1452.0 1.45
36 52 292.0 3 5850.0 2183.0 0.47
37 53 293.0 3 2772.0 5504.0 0.86
38 57 297.0 3 1115.0 6907.0 0.88
39 60 300.0 3 7722.0 8545.0 1.38
40 63 303.0 3 1542.0 2714.0 1.14
41 64 304.0 3 3837.0 5853.0 1.83
42 64 304.0 3 4182.0 8604.0 0.4
43 66 306.0 3 5836.0 5126.0 1.22
44 68 308.0 3 5387.0 5303.0 1.51
45 68 308.0 3 5443.0 3846.0 1.75
46 69 309.0 3 1051.0 5953.0 0.47
47 74 314.0 3 3389.0 2900.0 1.1
48 76 316.0 3 8499.0 3385.0 1.32
49 77 317.0 3 9106.0 3557.0 0.66
50 83 323.0 3 5171.0 6643.0 1.14
51 84 324.0 3 2854.0 3006.0 1.57
52 84 324.0 3 2957.0 5469.0 0.72
53 86 326.0 3 2729.0 5924.0 1.28
54 88 328.0 3 8484.0 3653.0 1.77
55 89 329.0 3 2631.0 6982.0 0.76
56 89 329.0 3 5247.0 8343.0 1.95
57 91 331.0 3 6288.0 10017.0 1.6
58 93 333.0 3 1145.0 5985.0 1.23
59 93 333.0 3 7218.0 5979.0 1.87
60 94 334.0 3 6935.0 5123.0 1.58
61 95 335.0 3 5166.0 8355.0 1.41
62 98 338.0 3 6288.0 5644.0 1.57
63 99 339.0 3 5824.0 6526.0 1.31
64 101 341.0 3 5762.0 880.0 0.97
65 101 341.0 3 7861.0 2591.0 0.94
66 104 344.0 3 3616.0 7639.0 1.64
67 105 345.0 3 8870.0 8142.0 1.18
68 108 348.0 3 3632.0 1915.0 1.76
69 108 348.0 3 4530.0 5333.0 1.97
70 110 350.0 3 4885.0 394.0 0.62
71 110 350.0 3 1894.0 7369.0 0.96
72 111 351.0 3 4646.0 5673.0 0.38
73 112 352.0 3 2411.0 2793.0 1.72
74 116 356.0 3 3780.0 4137.0 1.19
75 118 358.0 3 5047.0 6637.0 1.11
76 121 361.0 3 4325.0 6919.0 0.67
77 122 362.0 3 5636.0 1176.0 0.38
78 125 365.0 3 121.0 4994.0 1.68
79 126 366.0 3 7112.0 3633.0 1.35
80 126 366.0 3 7854.0 5692.0 0.96
81 127 367.0 3 6604.0 5391.0 0.63
82 129 369.0 3 4361.0 4533.0 1.2
83 130 370.0 3 2060.0 3804.0 1.85
84 132 372.0 3 4085.0 5706.0 1.97
85 132 372.0 3 3472.0 3352.0 0.73
86 133 373.0 3 4076.0 4432.0 1.59
87 134 374.0 3 875.0 5343.0 1.98
88 136 376.0 3 8037.0 4057.0 1.66
89 138 378.0 3 9390.0 3257.0 0.89
90 139 379.0 3 4905.0 3397.0 1.74
91 141 381.0 3 7102.0 2228.0 1.64
92 141 381.0 3 260.0 3985.0 0.34
93 144 384.0 3 4582.0 3315.0 0.89
94 144 384.0 3 2668.0 7129.0 1.76
95 144 384.0 3 9366.0 7522.0 1.14
96 145 385.0 3 -187.0 4573.0 0.47
97 146 386.0 3 5468.0 4768.0 0.66
98 146 386.0 3 1783.0 7048.0 1.35
99 146 386.0 3 2052.0 5163.0 0.48
100 147 387.0 3 5573.0 3228.0 1.23
101 150 390.0 3 4823.0 8335.0 0.45
102 152 392.0 3 1704.0 4957.0 0.61
103 154 394.0 3 5858.0 2785.0 0.88
104 161 401.0 3 5240.0 7064.0 0.84
105 162 402.0 3 7145.0 3851.0 1.33
106 163 403.0 3 8105.0 6414.0 0.92
107 166 406.0 3 4981.0 6474.0 0.94
108 167 407.0 3 4528.0 4412.0 1.2
109 169 409.0 3 2422.0 2725.0 1.18
110 170 410.0 3 6298.0 5209.0 1.54
111 170 410.0 3 2749.0 6486.0 1.58
112 172 412.0 3 2826.0 3262.0 0.59
113 173 413.0 3 5766.0 6479.0 0.32
114 174 414.0 3 5023.0 5906.0 0.39
115 174 414.0 3 5193.0 4589.0 0.35
116 174 414.0 3 9322.0 3224.0 1.28
117 174 414.0 3 7441.0 6985.0 0.83
