Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 2 242.0 3 5027.0 4046.0 1.73
2 3 243.0 3 8396.0 7703.0 0.98
3 4 244.0 3 7047.0 4187.0 0.46
4 5 245.0 3 6836.0 4175.0 1.71
5 5 245.0 3 4580.0 4749.0 1.12
6 5 245.0 3 2972.0 5097.0 0.52
7 10 250.0 3 7226.0 3967.0 1.46
8 11 251.0 3 5813.0 4202.0 0.85
9 11 251.0 3 3758.0 9053.0 0.72
10 12 252.0 3 2921.0 8288.0 0.64
11 13 253.0 3 3854.0 3956.0 0.68
12 13 253.0 3 2052.0 5384.0 1.91
13 13 253.0 3 7071.0 9609.0 0.78
14 14 254.0 3 3918.0 6479.0 1.08
15 15 255.0 3 443.0 6122.0 1.72
16 22 262.0 3 1153.0 3689.0 0.69
17 22 262.0 3 8643.0 6929.0 1.56
18 24 264.0 3 7301.0 7057.0 0.99
19 24 264.0 3 4091.0 6614.0 0.86
20 25 265.0 3 4067.0 6024.0 0.62
21 25 265.0 3 3939.0 1316.0 0.86
22 28 268.0 3 6270.0 4076.0 0.97
23 33 273.0 3 5752.0 6841.0 0.41
24 36 276.0 3 8959.0 4431.0 1.34
25 37 277.0 3 3263.0 -1102.0 0.56
26 40 280.0 3 5450.0 4834.0 0.77
27 41 281.0 3 6894.0 6919.0 1.13
28 42 282.0 3 3262.0 4935.0 0.92
29 43 283.0 3 5103.0 6193.0 1.57
30 45 285.0 3 9539.0 7517.0 0.54
31 49 289.0 3 3552.0 4815.0 1.51
32 51 291.0 3 3769.0 4587.0 0.67
33 52 292.0 3 4037.0 2484.0 1.34
34 53 293.0 3 4989.0 6302.0 1.16
35 53 293.0 3 8131.0 4950.0 1.02
36 54 294.0 3 533.0 4045.0 0.32
37 55 295.0 3 4051.0 4302.0 0.37
38 59 299.0 3 6003.0 2711.0 1.77
39 59 299.0 3 4390.0 7516.0 0.35
40 63 303.0 3 8028.0 3026.0 1.87
41 66 306.0 3 4973.0 4945.0 1.86
42 68 308.0 3 5188.0 4830.0 0.77
43 68 308.0 3 4249.0 4330.0 0.86
44 68 308.0 3 648.0 5952.0 1.45
45 68 308.0 3 4349.0 4555.0 0.79
46 72 312.0 3 3946.0 6233.0 1.24
47 75 315.0 3 6467.0 7005.0 0.78
48 77 317.0 3 5901.0 1706.0 0.4
49 78 318.0 3 8215.0 3119.0 1.16
50 78 318.0 3 4279.0 10201.0 1.54
51 78 318.0 3 6654.0 2911.0 0.77
52 78 318.0 3 6385.0 5566.0 2.0
53 79 319.0 3 3956.0 10775.0 0.42
54 80 320.0 3 3961.0 4682.0 1.58
55 81 321.0 3 3289.0 8061.0 1.04
56 82 322.0 3 6317.0 6360.0 1.74
57 84 324.0 3 5529.0 2847.0 1.54
58 86 326.0 3 6886.0 4183.0 0.68
59 89 329.0 3 6412.0 7024.0 1.45
60 91 331.0 3 4713.0 5621.0 0.58
61 92 332.0 3 4923.0 11575.0 0.64
62 93 333.0 3 3958.0 4993.0 1.82
63 94 334.0 3 4524.0 1794.0 0.62
64 95 335.0 3 4019.0 9702.0 0.46
65 96 336.0 3 6860.0 4930.0 1.86
