Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 2 242.0 3 8394.0 5902.0 1.58
2 2 242.0 3 2498.0 1445.0 1.32
3 5 245.0 3 6300.0 3061.0 1.32
4 5 245.0 3 5039.0 5227.0 1.61
5 6 246.0 3 3872.0 8962.0 1.76
6 8 248.0 3 6610.0 7244.0 0.65
7 10 250.0 3 7358.0 8018.0 1.56
8 12 252.0 3 5653.0 5100.0 1.75
9 14 254.0 3 2215.0 5607.0 0.99
10 15 255.0 3 2830.0 5005.0 1.47
11 15 255.0 3 5766.0 4204.0 0.32
12 19 259.0 3 4085.0 3905.0 0.48
13 21 261.0 3 3308.0 3968.0 1.81
14 22 262.0 3 5204.0 3794.0 0.37
15 22 262.0 3 3056.0 4301.0 1.67
16 23 263.0 3 7829.0 5247.0 1.05
17 27 267.0 3 1979.0 2175.0 1.05
18 28 268.0 3 9639.0 1156.0 0.67
19 28 268.0 3 3705.0 7116.0 0.35
20 30 270.0 3 1985.0 821.0 0.63
21 30 270.0 3 7187.0 4107.0 1.01
22 30 270.0 3 8459.0 6187.0 1.3
23 31 271.0 3 5079.0 6293.0 0.63
24 32 272.0 3 3847.0 6756.0 0.73
25 32 272.0 3 5260.0 4663.0 0.72
26 38 278.0 3 7178.0 4118.0 0.62
27 38 278.0 3 3753.0 3315.0 0.93
28 39 279.0 3 5126.0 2589.0 0.55
29 40 280.0 3 6021.0 6433.0 1.17
