Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 4467.0 8320.0 1.4
2 1 241.0 3 7616.0 700.0 1.51
3 3 243.0 3 4284.0 7785.0 0.8
4 3 243.0 3 9522.0 1657.0 1.06
5 5 245.0 3 4880.0 3861.0 0.76
6 5 245.0 3 5502.0 2345.0 1.12
7 7 247.0 3 8883.0 4206.0 1.07
8 7 247.0 3 5844.0 3824.0 0.6
9 8 248.0 3 2124.0 8357.0 1.05
10 9 249.0 3 9416.0 9250.0 0.37
11 11 251.0 3 7104.0 7794.0 0.33
12 11 251.0 3 9888.0 3347.0 0.73
13 12 252.0 3 4654.0 7403.0 1.78
14 12 252.0 3 5438.0 7843.0 1.78
15 13 253.0 3 3199.0 364.0 1.05
16 15 255.0 3 9525.0 4722.0 1.98
17 18 258.0 3 6082.0 5606.0 1.09
18 18 258.0 3 6798.0 3577.0 1.1
19 18 258.0 3 5834.0 9263.0 1.53
20 19 259.0 3 6104.0 2334.0 0.35
21 22 262.0 3 5487.0 5871.0 0.9
22 25 265.0 3 8143.0 1156.0 1.11
23 26 266.0 3 3990.0 487.0 0.44
24 30 270.0 3 7680.0 3783.0 1.37
25 30 270.0 3 8335.0 1958.0 0.66
26 31 271.0 3 2698.0 7014.0 1.09
27 32 272.0 3 9353.0 5869.0 1.45
28 33 273.0 3 7879.0 6858.0 1.42
29 34 274.0 3 9015.0 4345.0 0.68
30 36 276.0 3 8676.0 9868.0 0.44
31 41 281.0 3 9016.0 3752.0 1.4
32 41 281.0 3 6914.0 3983.0 1.52
33 42 282.0 3 5611.0 3760.0 1.52
34 43 283.0 3 6126.0 7864.0 1.43
35 44 284.0 3 2792.0 9563.0 1.22
36 44 284.0 3 2659.0 1884.0 1.8
37 45 285.0 3 1477.0 7898.0 1.28
38 45 285.0 3 3242.0 2220.0 1.82
39 47 287.0 3 5900.0 2181.0 1.03
40 47 287.0 3 5076.0 5270.0 0.8
41 49 289.0 3 8941.0 2124.0 1.14
42 53 293.0 3 5058.0 9340.0 0.4
43 58 298.0 3 3845.0 4739.0 0.37
44 61 301.0 3 7048.0 4330.0 1.55
45 62 302.0 3 9389.0 8044.0 1.15
46 62 302.0 3 9648.0 7044.0 0.56
47 65 305.0 3 2500.0 8651.0 1.71
48 65 305.0 3 8998.0 7373.0 1.9
49 66 306.0 3 1780.0 3169.0 1.44
50 71 311.0 3 7070.0 7573.0 1.18
51 72 312.0 3 8729.0 842.0 0.5
52 72 312.0 3 7234.0 9374.0 1.01
53 73 313.0 3 8461.0 1837.0 1.11
54 74 314.0 3 5374.0 303.0 2.0
55 75 315.0 3 7242.0 6941.0 1.22
56 80 320.0 3 7853.0 3962.0 1.22
57 81 321.0 3 7331.0 9478.0 1.79
58 82 322.0 3 5101.0 6817.0 1.66
59 83 323.0 3 9473.0 4711.0 0.53
60 83 323.0 3 8530.0 3106.0 1.17
61 88 328.0 3 9318.0 5173.0 1.57
62 90 330.0 3 359.0 142.0 0.35
63 90 330.0 3 8965.0 2374.0 1.27
64 91 331.0 3 631.0 3658.0 1.97
65 96 336.0 3 4528.0 2211.0 1.08
66 98 338.0 3 8522.0 1909.0 0.86
67 99 339.0 3 3291.0 6349.0 0.97
68 100 340.0 3 8531.0 5222.0 1.78
69 101 341.0 3 6921.0 4226.0 1.62
70 106 346.0 3 5067.0 6369.0 0.37
71 111 351.0 3 4322.0 399.0 0.38
72 111 351.0 3 1636.0 538.0 1.4
73 112 352.0 3 7419.0 9071.0 0.4
74 112 352.0 3 8303.0 4428.0 1.24
75 112 352.0 3 4044.0 7471.0 1.63
76 113 353.0 3 6230.0 7418.0 1.83
77 115 355.0 3 3576.0 5330.0 0.4
78 116 356.0 3 7824.0 5704.0 1.2
79 118 358.0 3 4267.0 5477.0 1.9
80 119 359.0 3 835.0 3438.0 0.55
81 120 360.0 3 3620.0 7183.0 1.62
82 121 361.0 3 8030.0 5045.0 0.69
83 122 362.0 3 3437.0 3864.0 1.15
84 122 362.0 3 2489.0 4273.0 0.91
85 122 362.0 3 6637.0 9271.0 1.33
86 123 363.0 3 4433.0 4923.0 0.62
87 123 363.0 3 5642.0 9318.0 0.59
88 126 366.0 3 931.0 7810.0 1.81
89 126 366.0 3 7499.0 7673.0 0.91
90 127 367.0 3 9345.0 3141.0 1.69
91 129 369.0 3 247.0 9411.0 0.57
92 131 371.0 3 3183.0 9395.0 1.36
93 133 373.0 3 7027.0 6028.0 0.81
94 134 374.0 3 5964.0 9695.0 0.51
95 136 376.0 3 956.0 4962.0 1.25
96 137 377.0 3 3097.0 7881.0 1.44
97 139 379.0 3 558.0 5826.0 1.46
98 141 381.0 3 4592.0 1486.0 0.36
99 141 381.0 3 9227.0 3135.0 1.52
100 142 382.0 3 6656.0 4281.0 1.76
101 142 382.0 3 2714.0 9383.0 0.87
102 142 382.0 3 6538.0 1294.0 1.71
103 142 382.0 3 3972.0 4088.0 0.33
104 146 386.0 3 4224.0 8160.0 1.66
105 148 388.0 3 9792.0 9165.0 0.54
106 149 389.0 3 9163.0 4987.0 0.35
107 150 390.0 3 1936.0 1847.0 1.64
108 151 391.0 3 2177.0 5129.0 1.73
109 151 391.0 3 9837.0 1521.0 1.07
110 152 392.0 3 7103.0 3026.0 1.07
111 152 392.0 3 965.0 6688.0 1.73
112 154 394.0 3 3159.0 6814.0 0.94
113 154 394.0 3 8802.0 9927.0 0.96
114 155 395.0 3 1953.0 5436.0 1.54
115 155 395.0 3 4665.0 6516.0 1.03
116 155 395.0 3 1872.0 7200.0 1.79
117 157 397.0 3 1101.0 7001.0 1.11
118 157 397.0 3 2991.0 439.0 0.34
119 160 400.0 3 1017.0 5960.0 0.32
120 161 401.0 3 2378.0 176.0 0.39
121 162 402.0 3 9794.0 3168.0 1.76
122 164 404.0 3 8873.0 4714.0 0.84
123 164 404.0 3 1343.0 8689.0 1.79
124 166 406.0 3 2508.0 4803.0 1.23
125 170 410.0 3 6724.0 7853.0 0.46
126 172 412.0 3 5177.0 1856.0 1.35
127 175 415.0 3 1228.0 6235.0 0.44
128 177 417.0 3 3642.0 5033.0 1.95
129 179 419.0 3 7707.0 112.0 1.39
130 180 420.0 3 4090.0 3403.0 1.94
131 182 422.0 3 1958.0 5290.0 0.66
132 183 423.0 3 7644.0 5209.0 1.63
133 184 424.0 3 8594.0 2123.0 0.61
134 185 425.0 3 9025.0 6260.0 0.65
