Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 3142.0 7464.0 1.14
2 3 243.0 3 6895.0 5237.0 1.08
3 4 244.0 3 5076.0 6427.0 1.99
4 5 245.0 3 3907.0 1146.0 1.18
5 5 245.0 3 5223.0 3460.0 1.9
6 7 247.0 3 5374.0 7595.0 1.77
7 8 248.0 3 6980.0 1824.0 1.41
8 11 251.0 3 8012.0 8406.0 1.66
9 11 251.0 3 4838.0 8943.0 1.9
10 11 251.0 3 4031.0 6611.0 1.88
11 12 252.0 3 7957.0 1320.0 1.79
12 12 252.0 3 2388.0 8089.0 0.71
13 12 252.0 3 3889.0 6473.0 1.54
14 12 252.0 3 5681.0 5580.0 1.52
15 13 253.0 3 6719.0 7861.0 1.54
16 15 255.0 3 1400.0 3990.0 0.77
17 17 257.0 3 3890.0 2076.0 0.6
18 18 258.0 3 7875.0 3662.0 1.91
19 18 258.0 3 3019.0 607.0 1.0
20 20 260.0 3 5615.0 7449.0 0.56
21 23 263.0 3 4239.0 5724.0 1.56
22 24 264.0 3 5766.0 5666.0 1.92
23 24 264.0 3 6680.0 4843.0 0.71
24 25 265.0 3 6105.0 3533.0 1.72
25 26 266.0 3 3569.0 7388.0 0.45
26 27 267.0 3 2200.0 4974.0 1.76
27 28 268.0 3 9640.0 3775.0 0.95
28 30 270.0 3 3336.0 7522.0 1.07
29 30 270.0 3 5438.0 6867.0 1.96
30 31 271.0 3 4289.0 4026.0 1.37
31 31 271.0 3 4276.0 683.0 1.59
32 33 273.0 3 5902.0 5481.0 0.69
33 33 273.0 3 5881.0 4924.0 0.37
34 34 274.0 3 9167.0 3185.0 0.48
35 34 274.0 3 2954.0 1228.0 1.33
36 35 275.0 3 7285.0 4815.0 0.69
37 36 276.0 3 8491.0 4557.0 1.19
38 40 280.0 3 4941.0 9308.0 1.54
39 44 284.0 3 6476.0 5370.0 0.74
40 44 284.0 3 6540.0 5680.0 1.48
41 45 285.0 3 5534.0 5652.0 0.59
42 45 285.0 3 3032.0 8484.0 1.22
43 48 288.0 3 4381.0 3535.0 1.16
44 49 289.0 3 952.0 8557.0 0.88
45 50 290.0 3 4646.0 6258.0 1.91
46 52 292.0 3 4381.0 5123.0 0.92
47 52 292.0 3 6842.0 6443.0 0.96
48 52 292.0 3 6524.0 3967.0 1.22
49 53 293.0 3 5035.0 6069.0 1.68
50 53 293.0 3 4390.0 1633.0 0.77
51 55 295.0 3 6316.0 5745.0 0.52
52 57 297.0 3 5940.0 4562.0 0.74
53 59 299.0 3 3123.0 4998.0 1.74
54 60 300.0 3 6013.0 4205.0 1.22
55 61 301.0 3 2215.0 8375.0 0.39
56 63 303.0 3 4700.0 7559.0 1.85
57 64 304.0 3 2887.0 5310.0 0.34
58 66 306.0 3 4089.0 6915.0 1.62
59 67 307.0 3 4023.0 7049.0 0.41
60 67 307.0 3 6206.0 5697.0 1.01
61 68 308.0 3 4318.0 4694.0 0.91
62 68 308.0 3 5807.0 4278.0 1.71
