Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 1 241.0 3 5347.0 1307.0 1.95
2 1 241.0 3 4914.0 1832.0 1.29
3 1 241.0 3 8340.0 4174.0 1.99
4 2 242.0 3 6361.0 356.0 0.87
5 4 244.0 3 7155.0 7607.0 0.58
6 5 245.0 3 6894.0 1438.0 0.49
7 7 247.0 3 8236.0 6474.0 0.55
8 7 247.0 3 3183.0 5130.0 1.53
9 8 248.0 3 7206.0 6280.0 0.34
10 9 249.0 3 1848.0 3433.0 0.53
11 9 249.0 3 9492.0 3241.0 0.35
12 9 249.0 3 2026.0 7029.0 1.72
13 11 251.0 3 1803.0 6116.0 1.22
14 12 252.0 3 6775.0 3798.0 1.21
15 12 252.0 3 6397.0 7726.0 1.4
16 14 254.0 3 5546.0 8292.0 0.65
17 15 255.0 3 3524.0 9805.0 1.1
18 16 256.0 3 3043.0 6649.0 0.79
19 17 257.0 3 7402.0 4999.0 0.44
20 18 258.0 3 8752.0 5394.0 0.7
21 18 258.0 3 8757.0 7436.0 0.41
22 21 261.0 3 9687.0 9554.0 0.65
23 21 261.0 3 4080.0 9564.0 0.61
24 22 262.0 3 1119.0 4675.0 1.5
25 23 263.0 3 52.0 8455.0 0.81
26 24 264.0 3 8103.0 1360.0 1.91
27 25 265.0 3 702.0 2805.0 1.66
28 25 265.0 3 6299.0 3805.0 1.26
29 27 267.0 3 8890.0 7556.0 1.95
30 28 268.0 3 6662.0 2877.0 1.82
31 29 269.0 3 6244.0 1586.0 1.06
32 29 269.0 3 3153.0 2806.0 1.74
33 29 269.0 3 248.0 4206.0 1.33
34 30 270.0 3 9034.0 4730.0 0.32
35 32 272.0 3 4261.0 8309.0 0.95
36 32 272.0 3 124.0 767.0 0.33
37 32 272.0 3 7631.0 2790.0 1.17
38 36 276.0 3 3378.0 9879.0 1.92
39 36 276.0 3 7050.0 7800.0 0.8
40 36 276.0 3 5685.0 9515.0 0.41
41 46 286.0 3 2683.0 5220.0 1.53
42 48 288.0 3 5626.0 4869.0 1.16
43 48 288.0 3 1916.0 9166.0 1.32
44 49 289.0 3 4524.0 5033.0 0.44
45 49 289.0 3 1472.0 3979.0 1.13
46 49 289.0 3 9235.0 3403.0 1.4
47 50 290.0 3 8551.0 2267.0 0.44
48 50 290.0 3 7579.0 4273.0 1.31
49 50 290.0 3 5318.0 6855.0 1.31
50 51 291.0 3 9232.0 3641.0 1.75
51 51 291.0 3 7533.0 6426.0 0.97
52 51 291.0 3 8649.0 3735.0 1.84
53 52 292.0 3 2148.0 8814.0 1.57
54 52 292.0 3 6014.0 3161.0 1.4
55 53 293.0 3 4954.0 1336.0 0.76
