Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 8098.0 4123.0 1.22
2 0 240.0 3 6254.0 3707.0 1.35
3 1 241.0 3 2624.0 2312.0 0.68
4 1 241.0 3 7391.0 7311.0 1.74
5 1 241.0 3 4748.0 6690.0 1.05
6 3 243.0 3 1510.0 5167.0 1.06
7 3 243.0 3 3642.0 7799.0 1.98
8 4 244.0 3 4432.0 1977.0 1.27
9 7 247.0 3 1592.0 5935.0 0.63
10 7 247.0 3 6019.0 4799.0 1.5
11 8 248.0 3 5843.0 2209.0 0.86
12 9 249.0 3 3641.0 7160.0 0.34
13 9 249.0 3 7343.0 6525.0 0.86
14 10 250.0 3 6386.0 3442.0 0.98
15 11 251.0 3 1604.0 3935.0 1.72
16 11 251.0 3 2115.0 3838.0 1.78
17 11 251.0 3 7641.0 5704.0 0.77
18 12 252.0 3 3876.0 5811.0 1.17
19 12 252.0 3 4528.0 6032.0 0.33
20 12 252.0 3 5844.0 5466.0 1.89
21 13 253.0 3 5348.0 6774.0 0.62
22 16 256.0 3 6999.0 7917.0 0.65
23 16 256.0 3 4900.0 6254.0 1.69
24 17 257.0 3 6548.0 5915.0 1.06
25 17 257.0 3 1602.0 5992.0 1.36
26 19 259.0 3 5922.0 7559.0 1.01
27 23 263.0 3 2612.0 9803.0 0.85
28 25 265.0 3 4454.0 4196.0 1.27
29 27 267.0 3 4460.0 -109.0 1.37
30 28 268.0 3 1091.0 4299.0 0.74
31 29 269.0 3 1306.0 8531.0 1.35
32 29 269.0 3 8607.0 5308.0 0.93
33 31 271.0 3 4961.0 6616.0 0.65
34 32 272.0 3 3574.0 1651.0 0.63
35 33 273.0 3 5129.0 6129.0 1.12
36 33 273.0 3 3303.0 1217.0 1.1
37 33 273.0 3 5551.0 2582.0 0.78
38 34 274.0 3 5136.0 6377.0 1.37
39 34 274.0 3 6402.0 6569.0 0.41
40 35 275.0 3 3796.0 5273.0 1.8
41 36 276.0 3 7131.0 6620.0 0.76
42 36 276.0 3 6854.0 4854.0 1.03
43 37 277.0 3 3274.0 5817.0 1.72
44 38 278.0 3 6853.0 3191.0 1.4
45 41 281.0 3 4762.0 814.0 1.6
46 41 281.0 3 1254.0 7615.0 1.78
47 41 281.0 3 6197.0 1027.0 0.63
48 42 282.0 3 4378.0 2878.0 1.16
49 42 282.0 3 3301.0 5540.0 1.55
50 44 284.0 3 7377.0 4817.0 1.62
51 45 285.0 3 3125.0 6401.0 1.36
52 46 286.0 3 1000.0 6342.0 1.42
53 47 287.0 3 8083.0 1236.0 0.63
54 47 287.0 3 1129.0 5737.0 0.69
55 48 288.0 3 3577.0 3341.0 0.61
56 48 288.0 3 9608.0 2986.0 0.86
57 51 291.0 3 3762.0 6230.0 0.76
58 52 292.0 3 2541.0 6616.0 1.65
59 52 292.0 3 7393.0 8608.0 0.41
60 52 292.0 3 6936.0 3423.0 1.76
61 54 294.0 3 2142.0 4182.0 0.5
62 54 294.0 3 2429.0 6695.0 1.33
63 54 294.0 3 5057.0 4253.0 0.4
64 56 296.0 3 6006.0 5897.0 1.69
65 57 297.0 3 5268.0 1921.0 0.92
66 60 300.0 3 7720.0 7891.0 1.35
67 60 300.0 3 747.0 4955.0 1.11
68 61 301.0 3 721.0 4611.0 1.36
69 61 301.0 3 6549.0 1699.0 0.62
70 65 305.0 3 4227.0 8313.0 0.43
71 66 306.0 3 6743.0 1501.0 0.72
72 68 308.0 3 5100.0 9308.0 0.77
73 69 309.0 3 3972.0 5175.0 1.17
74 71 311.0 3 5429.0 -57.0 1.2
75 71 311.0 3 4054.0 3623.0 1.09
76 72 312.0 3 157.0 7041.0 1.28
77 73 313.0 3 5934.0 4223.0 1.86
78 73 313.0 3 4129.0 5171.0 1.48
79 74 314.0 3 4022.0 5960.0 0.59
80 75 315.0 3 4882.0 1010.0 0.42
81 76 316.0 3 1684.0 3996.0 1.73
82 77 317.0 3 7988.0 2344.0 1.84
83 78 318.0 3 2666.0 6565.0 1.63
84 79 319.0 3 7364.0 3177.0 0.62
85 79 319.0 3 3550.0 1679.0 0.84
86 82 322.0 3 5835.0 4224.0 1.75
87 82 322.0 3 5271.0 7383.0 1.82
88 84 324.0 3 845.0 2206.0 0.42
89 84 324.0 3 5437.0 5344.0 1.22
90 85 325.0 3 4807.0 5119.0 0.95
91 85 325.0 3 5283.0 7783.0 1.98
92 85 325.0 3 2436.0 3107.0 0.95
93 86 326.0 3 4864.0 5335.0 0.57
94 86 326.0 3 4833.0 3712.0 1.97
95 88 328.0 3 8037.0 4060.0 1.78
96 88 328.0 3 6962.0 -1450.0 0.41
97 91 331.0 3 9536.0 6505.0 1.41
98 96 336.0 3 7855.0 3470.0 0.53
99 96 336.0 3 432.0 6708.0 0.99
100 98 338.0 3 2503.0 3623.0 0.46
101 99 339.0 3 6304.0 5332.0 1.49
102 102 342.0 3 7715.0 3620.0 1.74
103 102 342.0 3 2749.0 7181.0 0.42
104 103 343.0 3 6461.0 885.0 1.49
105 103 343.0 3 8329.0 2263.0 1.37
106 106 346.0 3 2993.0 8219.0 1.16
107 108 348.0 3 5641.0 2159.0 1.86
108 109 349.0 3 2857.0 6502.0 0.91
109 109 349.0 3 8621.0 6179.0 0.91
110 111 351.0 3 4424.0 2101.0 0.73
111 112 352.0 3 2509.0 3562.0 1.14
112 112 352.0 3 6402.0 177.0 1.77
113 113 353.0 3 1052.0 6018.0 1.98
114 113 353.0 3 6903.0 1529.0 1.69
115 114 354.0 3 8267.0 7102.0 1.56
116 114 354.0 3 5688.0 3649.0 1.78
117 116 356.0 3 7215.0 472.0 0.71
118 117 357.0 3 5089.0 5863.0 1.61
119 117 357.0 3 1982.0 3878.0 1.3
120 118 358.0 3 2980.0 4543.0 1.41
121 120 360.0 3 2016.0 69.0 0.98
122 123 363.0 3 5055.0 942.0 1.32
123 123 363.0 3 6628.0 6987.0 1.74
124 125 365.0 3 7489.0 6341.0 1.73
125 126 366.0 3 6962.0 8348.0 1.12
126 127 367.0 3 5218.0 5955.0 0.48
127 128 368.0 3 9744.0 6567.0 1.89
128 129 369.0 3 7668.0 7441.0 1.53
129 129 369.0 3 7949.0 2564.0 1.7
130 131 371.0 3 3049.0 326.0 1.21
131 132 372.0 3 4826.0 6773.0 1.91
132 132 372.0 3 2038.0 7316.0 1.88
133 134 374.0 3 5995.0 4185.0 0.93
134 134 374.0 3 6194.0 5486.0 0.34
135 136 376.0 3 6516.0 3733.0 1.06
136 136 376.0 3 4340.0 7135.0 1.3
137 140 380.0 3 3409.0 7338.0 1.41
138 142 382.0 3 2460.0 6615.0 1.37
139 142 382.0 3 5329.0 1870.0 0.99
140 142 382.0 3 5040.0 3774.0 1.88
141 143 383.0 3 6136.0 9129.0 0.4
142 147 387.0 3 2134.0 345.0 1.34
143 149 389.0 3 6831.0 6805.0 1.23
144 153 393.0 3 4186.0 3133.0 1.63
145 153 393.0 3 3719.0 2146.0 1.11
146 155 395.0 3 7221.0 8470.0 0.89
147 156 396.0 3 8808.0 6393.0 0.39
148 157 397.0 3 4411.0 9630.0 0.42
149 157 397.0 3 3079.0 8523.0 0.96
150 157 397.0 3 6314.0 8256.0 1.96
151 157 397.0 3 1049.0 6394.0 0.7
152 160 400.0 3 2548.0 7161.0 1.35
153 162 402.0 3 6773.0 4748.0 0.4
154 162 402.0 3 6496.0 2587.0 0.32
155 163 403.0 3 9872.0 5019.0 1.28
156 165 405.0 3 6695.0 2845.0 0.83
157 167 407.0 3 3987.0 4197.0 0.39
158 169 409.0 3 2729.0 6573.0 1.98
159 170 410.0 3 8831.0 5839.0 1.42
160 171 411.0 3 7130.0 3149.0 1.87
161 172 412.0 3 3790.0 4256.0 1.81
162 172 412.0 3 3274.0 3774.0 1.82
163 173 413.0 3 3367.0 5176.0 0.56
164 173 413.0 3 1851.0 953.0 1.46
165 173 413.0 3 9013.0 4282.0 0.76
166 173 413.0 3 5379.0 4286.0 1.1
167 175 415.0 3 6558.0 8118.0 1.82
168 175 415.0 3 2851.0 2782.0 1.22
169 176 416.0 3 6982.0 8330.0 0.6
170 177 417.0 3 2314.0 1440.0 0.93
171 178 418.0 3 3097.0 6127.0 1.3
172 181 421.0 3 142.0 6837.0 1.54
173 183 423.0 3 2477.0 5479.0 1.16
174 184 424.0 3 3230.0 8372.0 0.77
175 185 425.0 3 7223.0 2332.0 1.75
176 186 426.0 3 4116.0 6316.0 1.18
177 188 428.0 3 6388.0 5553.0 1.71
178 188 428.0 3 4589.0 4215.0 1.46
179 189 429.0 3 6448.0 3634.0 0.99
180 189 429.0 3 2831.0 4180.0 1.84
181 190 430.0 3 4696.0 3051.0 0.92
182 191 431.0 3 4206.0 7988.0 1.06
183 195 435.0 3 6556.0 9658.0 1.84
184 197 437.0 3 5591.0 6523.0 1.37
185 197 437.0 3 5962.0 5537.0 0.49
186 199 439.0 3 3514.0 3758.0 1.31
187 200 440.0 3 2270.0 5685.0 0.44
188 202 442.0 3 3838.0 6189.0 1.8
189 205 445.0 3 3640.0 1977.0 0.45
190 206 446.0 3 3691.0 2555.0 0.92
191 207 447.0 3 8823.0 6006.0 0.68
192 207 447.0 3 5238.0 3612.0 0.88
193 208 448.0 3 4673.0 4732.0 1.14
194 209 449.0 3 5355.0 2557.0 1.71
195 210 450.0 3 2250.0 6006.0 0.68
196 211 451.0 3 1312.0 5237.0 1.91
197 211 451.0 3 4934.0 3196.0 1.43
198 217 457.0 3 5855.0 4794.0 0.48
199 218 458.0 3 5909.0 3706.0 1.18
200 218 458.0 3 3046.0 4816.0 1.43
201 223 463.0 3 6023.0 1897.0 1.56
202 224 464.0 3 5603.0 4824.0 0.56
203 225 465.0 3 2053.0 3983.0 1.04
204 226 466.0 3 7323.0 4958.0 1.94
205 226 466.0 3 4606.0 4767.0 0.42
206 227 467.0 3 8128.0 6606.0 0.81
207 227 467.0 3 9362.0 5788.0 1.41
208 228 468.0 3 -118.0 1765.0 0.83
209 228 468.0 3 4565.0 2833.0 1.63
210 230 470.0 3 7297.0 5335.0 0.68
211 233 473.0 3 7298.0 5882.0 1.69
212 233 473.0 3 4260.0 4247.0 1.94
