Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 0 240.0 3 5852.0 5054.0 1.07
2 1 241.0 3 7619.0 5878.0 1.77
3 1 241.0 3 3469.0 4457.0 1.83
4 3 243.0 3 10501.0 4065.0 1.04
5 6 246.0 3 5367.0 4280.0 1.69
6 7 247.0 3 5698.0 5478.0 0.89
7 11 251.0 3 8224.0 7629.0 0.31
8 20 260.0 3 3417.0 5742.0 0.81
9 20 260.0 3 602.0 4118.0 0.95
10 30 270.0 3 3338.0 7887.0 1.38
11 30 270.0 3 3892.0 7310.0 0.3
12 31 271.0 3 3308.0 4865.0 1.97
13 31 271.0 3 2757.0 6197.0 1.17
14 32 272.0 3 6023.0 2843.0 1.33
15 33 273.0 3 7211.0 464.0 1.56
16 34 274.0 3 4147.0 7710.0 1.37
17 39 279.0 3 3751.0 5043.0 1.97
18 41 281.0 3 6706.0 8414.0 0.41
19 41 281.0 3 7334.0 6969.0 1.9
20 43 283.0 3 8316.0 6612.0 0.94
21 44 284.0 3 6893.0 8754.0 1.82
22 46 286.0 3 6455.0 4553.0 1.95
23 50 290.0 3 4927.0 1885.0 1.14
24 51 291.0 3 2852.0 3950.0 1.32
25 53 293.0 3 6486.0 6534.0 1.06
26 54 294.0 3 6399.0 6826.0 1.19
27 58 298.0 3 6414.0 5500.0 0.31
28 60 300.0 3 9512.0 1602.0 0.34
29 62 302.0 3 4591.0 5331.0 1.89
30 63 303.0 3 8123.0 6141.0 0.49
31 66 306.0 3 2607.0 5624.0 1.65
32 67 307.0 3 4658.0 1791.0 1.39
33 68 308.0 3 5592.0 4765.0 0.81
34 73 313.0 3 8927.0 4531.0 0.98
35 75 315.0 3 2377.0 2595.0 0.7
36 81 321.0 3 5992.0 5030.0 1.71
37 82 322.0 3 4606.0 5192.0 1.82
38 86 326.0 3 9156.0 4577.0 1.66
39 87 327.0 3 6617.0 6865.0 0.64
40 90 330.0 3 5820.0 3819.0 0.78
41 92 332.0 3 4784.0 4796.0 0.57
42 97 337.0 3 4793.0 3996.0 1.24
43 98 338.0 3 8396.0 7476.0 1.07
44 102 342.0 3 6617.0 5419.0 0.68
45 113 353.0 3 4350.0 4810.0 1.43
46 114 354.0 3 3858.0 6185.0 1.04
47 116 356.0 3 6884.0 5518.0 1.55
48 118 358.0 3 4071.0 3439.0 0.87
49 118 358.0 3 3731.0 4713.0 0.89
50 119 359.0 3 3709.0 7598.0 1.62
51 121 361.0 3 4787.0 7016.0 0.51
52 122 362.0 3 3120.0 7739.0 0.49
53 123 363.0 3 5812.0 4654.0 1.7
54 123 363.0 3 7075.0 4726.0 0.32
55 123 363.0 3 7226.0 774.0 1.45
56 124 364.0 3 1558.0 4531.0 0.79
57 125 365.0 3 9462.0 7233.0 1.51
58 129 369.0 3 8945.0 5504.0 1.52
59 131 371.0 3 6567.0 5322.0 0.97
60 133 373.0 3 4724.0 5271.0 1.04
61 135 375.0 3 7326.0 6818.0 1.27
62 138 378.0 3 7403.0 9217.0 1.6
63 139 379.0 3 4420.0 8877.0 1.03
64 143 383.0 3 2744.0 4002.0 1.64
65 144 384.0 3 5070.0 7362.0 2.0
66 147 387.0 3 3343.0 5615.0 0.41
67 149 389.0 3 5745.0 1464.0 1.83
68 150 390.0 3 7067.0 2952.0 0.91
69 150 390.0 3 7827.0 8064.0 1.48
70 155 395.0 3 3061.0 6964.0 0.4
71 159 399.0 3 4908.0 7018.0 1.43
72 160 400.0 3 4317.0 5031.0 1.71
73 170 410.0 3 4196.0 7235.0 0.35
74 171 411.0 3 3868.0 6957.0 0.97
75 177 417.0 3 7068.0 3481.0 1.27
76 185 425.0 3 5886.0 4205.0 1.42
77 189 429.0 3 2564.0 2695.0 0.77
78 189 429.0 3 589.0 7346.0 1.65
79 190 430.0 3 7278.0 3687.0 0.89
80 193 433.0 3 6091.0 7930.0 1.44
81 194 434.0 3 5438.0 6346.0 1.61
82 194 434.0 3 2636.0 9482.0 0.74
83 196 436.0 3 7249.0 3760.0 1.49
84 197 437.0 3 4527.0 8158.0 0.43
85 197 437.0 3 6955.0 6966.0 0.85
86 198 438.0 3 1742.0 4521.0 1.97
87 199 439.0 3 3137.0 5247.0 1.12
88 199 439.0 3 4283.0 8245.0 1.75
