Drone_data                      
          q_d       2.3     [Kg]
            W       1.5     [Kg]
            m       1.5     [Kg]
            g      9.81   [N/Kg]
        rho_d     1.204 [Kg/m^3]
         xi_d    0.0064    [m^2]
          h_d         6         
KWh_conv_fact  0.000017         
      ce_unit       306  [Ã¢â€šÂ¬/KWh]

Battery_data                      
             E_min  10.00  percent
             E_max 100.00  percent
           under_E  10.00  percent
max_energy_density   0.27 [KWh/Kg]
 minutes_conv_fact   0.60         
    charging power   0.90  [KW/Kg]
           omega_0   0.00         
               rho  20.00  minutes

Customers_data 
id t l_i st_i x_i y_i q_i
1 2 242.0 3 1540.0 3884.0 0.34
2 5 245.0 3 8631.0 6208.0 0.49
3 5 245.0 3 4277.0 465.0 0.38
4 6 246.0 3 2503.0 1942.0 1.7
5 7 247.0 3 3896.0 9823.0 0.83
6 10 250.0 3 2134.0 7039.0 1.97
7 11 251.0 3 9919.0 6239.0 0.8
8 12 252.0 3 2504.0 5146.0 1.49
9 16 256.0 3 6472.0 5111.0 1.36
10 16 256.0 3 8271.0 5987.0 0.67
11 18 258.0 3 2899.0 3002.0 1.5
12 20 260.0 3 949.0 5839.0 1.84
13 23 263.0 3 6096.0 126.0 1.94
14 25 265.0 3 845.0 3821.0 1.21
15 31 271.0 3 687.0 736.0 0.93
16 36 276.0 3 4201.0 52.0 1.72
17 38 278.0 3 3054.0 9892.0 1.51
18 43 283.0 3 9893.0 3100.0 0.39
19 43 283.0 3 2949.0 4320.0 1.36
20 43 283.0 3 8204.0 1377.0 1.31
21 44 284.0 3 3430.0 8947.0 0.78
22 44 284.0 3 7856.0 1853.0 1.49
23 44 284.0 3 4539.0 9664.0 1.09
24 52 292.0 3 4426.0 3140.0 1.74
25 57 297.0 3 6100.0 8549.0 1.6
26 63 303.0 3 8512.0 1793.0 0.69
27 65 305.0 3 931.0 1035.0 1.1
28 70 310.0 3 2893.0 306.0 0.73
29 70 310.0 3 1452.0 2625.0 1.19
30 71 311.0 3 4122.0 3194.0 0.58
31 72 312.0 3 614.0 3727.0 0.95
32 76 316.0 3 7630.0 9554.0 1.45
33 77 317.0 3 5444.0 8626.0 1.42
34 77 317.0 3 3791.0 6283.0 0.62
35 87 327.0 3 3125.0 9019.0 0.66
36 89 329.0 3 151.0 7240.0 1.18
37 91 331.0 3 7612.0 303.0 0.55
38 92 332.0 3 6536.0 2164.0 1.25
39 94 334.0 3 2348.0 6472.0 1.45
40 94 334.0 3 1055.0 3623.0 1.11
41 94 334.0 3 4085.0 3047.0 0.44
42 96 336.0 3 2506.0 3446.0 0.72
43 96 336.0 3 6457.0 9725.0 1.68
44 101 341.0 3 9536.0 4474.0 1.45
45 104 344.0 3 401.0 6857.0 0.62
46 104 344.0 3 4478.0 7053.0 1.58
47 104 344.0 3 6909.0 3058.0 1.17
48 109 349.0 3 7347.0 2084.0 1.04
49 109 349.0 3 2883.0 7605.0 0.77
50 112 352.0 3 4825.0 3566.0 0.89
51 117 357.0 3 5408.0 8384.0 0.52
52 119 359.0 3 3389.0 6657.0 1.85
53 123 363.0 3 5299.0 407.0 1.75
54 123 363.0 3 8594.0 9206.0 1.14
55 124 364.0 3 6961.0 6603.0 0.78
56 127 367.0 3 9550.0 9735.0 0.73
57 130 370.0 3 1687.0 3085.0 1.42
58 131 371.0 3 9211.0 9158.0 0.87
59 131 371.0 3 9097.0 1280.0 1.29
